pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0453,1.0391513507564303,0.38076392987423086,8.90660790623504,22.695461561213317,9.003429777131037,3.931697767624171,0.561557671112992,0.0451
0.01,0.0406,1.0447691048618506,0.32060345295161685,116334.71939266364,67181223953678.5,116350.98240785059,67178803054895.95,0.49114101107324837,0.045
0.02,0.0307,1.0376090056217486,0.2657524365207314,128722.72918815802,97119296745494.7,128774.1514704993,97108303692254.22,0.4369229243968764,0.0382
0.03,0.0227,1.0137556584878014,0.22026649727784542,78968.65853762836,10008544673890.463,78926.59818409808,9994629619793.055,0.3916475903281492,0.0295
0.04,0.0206,1.0293316123200407,0.19808730057085377,235994.86524914086,101985736085467.16,235891.62490852678,101988608948442.23,0.36241018594672564,0.0326
0.05,0.0159,1.0237628060428652,0.17883870177982425,88463870.98228967,7793378950093367e4,88463551.23100148,7793289892307067e4,0.33971717781300753,0.0274
0.06,0.0176,1.0197955983810179,0.17349382242671813,146125704.96513316,21291087962856476e4,146125687.9472307,21291078692293778e4,0.3157339246344864,0.0302
0.07,0.016,1.0299004900368338,0.1741273412703422,164989539.25870618,26939403637695142e4,164988957.58433214,26939308272295353e4,0.30371053780693824,0.0312
0.08,0.0151,1.0293595577636028,0.16965478818071936,17504060.92967086,2853968152255411700,17506411.60007118,2854781849139668500,0.2907030393807384,0.0334
0.09,0.0136,1.0130456886361325,0.15671870288306464,9138703248.45913,8335112776157968e8,9138715727.381289,8335136047471768e8,0.2799394823934872,0.0313
0.1,0.0147,1.0293584334625303,0.1614416411132384,1169190.2273798322,5358809653577791,1168903.320603655,5361909877486773,0.2748275346703471,0.0331
