pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0453,1.0391513507564303,0.38076392987423086,8.90660790623504,22.695461561213317,9.003429777131037,3.931697767624171,0.561557671112992,0.0451
0.01,0.0387,1.0328675145307176,0.24212403821553954,986445.0248743194,1929912270275.075,984470.733989503,1701038378418.285,0.4213607013573532,0.0304
0.02,0.0402,1.029976613636202,0.21384011247593115,1955890.0072984602,4231644369599.2397,1967830.733856238,3306520538667.9023,0.34237227552882094,0.0195
0.03,0.0423,1.0268192148307183,0.2180849121798472,2915159.187239469,6719915168049.017,2915278.953002497,4666275365933.124,0.2956713595902767,0.0127
0.04,0.0486,1.0315607382530796,0.23786396878561294,3917592.356320271,10058568611692.127,3910922.560470154,6131560565765.108,0.2676664580880749,0.0119
0.05,0.0483,1.0347875517076426,0.25939150010660306,4787255.100322896,12552837476244.506,4785828.326848604,7361295773361.688,0.25560034148810057,0.0153
0.06,0.0479,1.0424222475045286,0.2994581359480208,5700566.881022695,16128359993692.225,5647376.953171783,8233656633023.018,0.24771861310321122,0.0146
0.07,0.0493,1.0442058556761775,0.32186096595534514,6527581.78748201,19690301380485.855,6491435.333330607,9111921064496.145,0.24170787122899476,0.017
0.08,0.0459,1.038849540989766,0.3409835270374868,7317669.192561143,22206828607421.895,7348312.453555775,9972523100247.08,0.2395879367294487,0.0169
0.09,0.0467,1.038131326915817,0.3446265487360898,8105478.402581259,26204009041845.875,8145406.0800060425,10392619447510.219,0.2384230323198428,0.0177
0.1,0.0466,1.0323829287115558,0.3292896148618732,8904354.188269073,29340642613502.203,9011781.210276186,11274810167142.666,0.2365407003725025,0.0172
