pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0453,1.0391513507564303,0.38076392987423086,8.90660790623504,22.695461561213317,9.003429777131037,3.931697767624171,0.561557671112992,0.0451
0.01,0.0357,1.0341401509413795,0.2522976318752092,107.60034128142476,19751.680856624273,107.32707716081465,16993.332539123534,0.4316446477479517,0.0362
0.02,0.034,1.0328204651167074,0.22364516621329006,204.62285344915,42793.31053117548,205.47157525737646,33003.46067028479,0.35735441890576947,0.0308
0.03,0.0334,1.0275108007608316,0.22842453951762404,299.69015906873716,67853.93760631137,300.3517263719473,46695.654252121036,0.31054862624902113,0.0281
0.04,0.0375,1.0324828335297127,0.2498648007769563,400.4314298717341,102442.80062406667,399.7631125237886,61304.16693115854,0.2815562687334917,0.031
0.05,0.0401,1.036104547397213,0.269373272351691,487.51252753040706,127915.45266103251,487.3928899002211,73727.6237985575,0.26811373672864935,0.0316
0.06,0.0411,1.0436685154882135,0.3066972886610473,578.8187347971484,164176.10605871942,573.1046729542317,82183.19829645628,0.2594686411969015,0.0303
0.07,0.0426,1.0456059753633138,0.3253285689149444,661.3906838834504,199272.78352402215,657.6352358014229,91245.30543620163,0.25174101188745207,0.0295
0.08,0.0404,1.0407091233401038,0.34519552962732897,741.1200480053343,226501.7518585407,742.91426171504,99470.76727330408,0.24898972268900912,0.0268
0.09,0.0418,1.0390726746304257,0.3451387243887434,818.8418976578619,264823.8561939641,822.7121384694074,104029.71705372514,0.24640102683684006,0.0262
0.1,0.0414,1.029634347596593,0.32875877199436243,897.0785920299833,296334.4771004199,909.4525970866649,112531.19700045609,0.24361101932974938,0.0236
