pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0502,1.0463085114144608,0.39635321017615505,8.9480499560463,22.816785959510597,8.998593980910389,3.7890091026525186,0.5626599256506225,0.0488
0.01,0.0377,1.0424700779027618,0.31275876477559217,5712983.336447008,306080860234613950,5713188.41081683,306104193185531200,0.4918971189702559,0.0393
0.02,0.0319,1.0378610357661753,0.2683740113119432,4047452.978892267,87479729738721330,4047414.4659520383,87477040901989630,0.4339422011026333,0.0387
0.03,0.0256,1.0320562722063016,0.22838123592087398,8680025.348515745,677239522854835600,8680317.75150801,677285764954189200,0.3976325597046891,0.0329
0.04,0.0204,1.0217526630108322,0.19434014205368721,13583905.274438396,1168630933318738700,13583428.950409139,1168547710757276400,0.3614322476789209,0.0303
0.05,0.0166,1.0235202188456167,0.16609049575271068,261137.40957031032,133234802349301.81,262064.1495767279,133372483337204.06,0.3343854441606357,0.0292
0.06,0.0169,1.023340804672259,0.17085899161705204,2460908.022506643,24617460573222632,2458113.149170196,24563451593265832,0.315243978356386,0.0331
0.07,0.0159,1.0225614919920836,0.16894775829023437,12119371.981269004,748118119830976100,12119375.275430206,748101261167239600,0.30251343712431467,0.0304
0.08,0.017,1.0210909961544055,0.1673676446160119,18962737.74768673,3.0739994702774077e+18,18962529.52613606,3073821476320424e3,0.29180978255475143,0.0341
0.09,0.0147,1.0206984855079053,0.16253962067437142,2205870.7015637993,43035352938470904,2206042.360828524,43047413362506150,0.28008804439332313,0.0318
0.1,0.0146,1.0180778784051048,0.1552361891690647,141740291.5968627,16913112933786544e4,141738993.18587798,1691320324405965e5,0.2738776994452192,0.0291
0.11,0.0137,1.0210435995373521,0.1590026847454224,5583963.684462004,112015047797852220,5582886.583659644,111984781979444160,0.26849474088279407,0.031
0.12,0.0126,1.0162784270287393,0.15253112969540175,131045251.06064454,16207487306691884e4,131043051.95065981,16207384271903798e4,0.26298634935648635,0.0284
0.13,0.0129,1.0195197431539593,0.15596075821479777,139762648.53117335,14683522625785104e4,139759834.02120888,14683422138568943e4,0.25981737933272786,0.0313
0.14,0.0143,1.014824128664819,0.15434312890097282,1552810.8436091896,4268424184804846.5,1552103.3988293658,4268298495217495.5,0.2553730312855971,0.0309
0.15,0.0148,1.0165221218157152,0.1600191116257223,2959464.8941945303,30806203728075784,2959903.4002742544,30819373017068956,0.25322701376764983,0.0344
0.16,0.0141,1.0195219821332258,0.16491124004077878,766010.6387457699,872315998821369.1,765557.1129347612,874563166112092.5,0.25081237118182115,0.0347
0.17,0.0135,1.0221391472402508,0.15786314456205425,8876856.124127416,4.8069559422598963e+17,8880516.424730398,480077021213040200,0.24909935976672706,0.0351
0.18,0.0153,1.0150463159984258,0.16052910068831677,8270623.900885073,214506119823210300,8273069.464385814,214483865153007800,0.24689896666124234,0.0357
0.19,0.014,1.0213906428526205,0.16570802960815853,2422077.936623162,7377399583894816,2423020.9107303014,7375418768902041,0.2458372188788612,0.037
0.2,0.013,1.0173443376715934,0.1555264184348749,6521190.609406152,55065157601999056,6520573.9569964465,55038346818365930,0.2451084094691681,0.0348
