pi,type1_error,mean_F,var_F,mean_MSa,var_MSa,mean_MSE,var_MSE,mean_R2,tukey_fwer
0,0.0502,1.0463085114144608,0.39635321017615505,8.9480499560463,22.816785959510597,8.998593980910389,3.7890091026525186,0.5626599256506225,0.0488
0.01,0.0356,1.0335651087076274,0.2571729294726318,110.85584911246198,21578.903281337687,109.3977805875824,17208.20588364017,0.43019352309480463,0.0342
0.02,0.034,1.0315960214163458,0.2239958564471647,211.7493128356493,44956.388180745365,211.05965951804413,33330.04495389791,0.352218080270702,0.0307
0.03,0.0355,1.0351970512334936,0.23055202567791394,298.6608420734259,68231.72991660658,299.30686636798674,46765.67481694704,0.31161971677130634,0.0312
0.04,0.0383,1.0301150714546825,0.24294381862122089,395.7439390555287,96480.1003923044,396.23065641064426,59866.87142464819,0.2807787229047052,0.0314
0.05,0.0391,1.0375397678141745,0.26994905957584503,484.2169760397901,125052.93453626988,482.102140162475,71975.43930756707,0.26807815045935685,0.0316
0.06,0.0391,1.0376495242986872,0.33747337816656775,574.0111325384246,160111.87857716475,576.2926908866699,81622.56278881148,0.2577647744420614,0.0295
0.07,0.038,1.026551543102112,0.2949206756979233,652.0995730014175,181392.53588383054,661.1227916428492,89027.62081949873,0.2512724338968281,0.0266
0.08,0.0429,1.0325077873472026,0.32838864978677,734.3828451882122,225275.04640524893,741.0694847546456,99198.68242897357,0.24747649395934626,0.0288
0.09,0.0405,1.0430556774195396,0.3306858339762471,830.1854897573043,267499.45475317683,826.7876313781885,102976.11107935003,0.24685650913584112,0.0254
0.1,0.0462,1.0555623336803104,0.3696818951147893,911.2642302931968,308448.98036773887,902.3148107357639,109132.5632565933,0.24579477545937134,0.0297
0.11,0.0449,1.0463612708865546,0.35787557730303204,988.4490689437724,357190.54258237913,986.269130276431,117785.88369345231,0.24385216771623308,0.0258
0.12,0.046,1.0571237568941267,0.3770370532600699,1085.7734647208524,406119.2072731372,1071.379832629065,120664.56805661523,0.24350540541173016,0.0255
0.13,0.0472,1.0436041694566693,0.36966270471083934,1132.6094787616585,432192.01134258264,1135.6955623557167,126858.72257428367,0.24193016366908363,0.0273
0.14,0.0478,1.0507340961100995,0.3772732708132894,1222.8317278690831,493824.27513728366,1215.1477761098852,125374.13735397816,0.24223865149673043,0.0268
0.15,0.0451,1.0445243073210546,0.3684006377986859,1280.409582781851,503001.7645116779,1284.0732769159736,132393.64652586658,0.24081284017643137,0.0258
0.16,0.05,1.0593965823990037,0.40319662679381496,1360.3334003115924,571518.0021108824,1349.4572369050086,130777.99256479584,0.2412141849106175,0.0312
0.17,0.047,1.050726133264792,0.4049595487664156,1423.1979674093118,610062.2338513115,1422.0246919537685,132115.36262305197,0.24053147104894543,0.0294
0.18,0.049,1.051376881867631,0.38457455175220995,1490.801477032571,658307.3160287521,1487.2807659845896,137282.72585852578,0.23973708448743009,0.0295
0.19,0.0522,1.0566394379421764,0.42162528034517427,1547.5340847096559,714593.4389096302,1542.9500338791481,138686.49535138652,0.23989261022897967,0.0348
0.2,0.0499,1.055682667356308,0.4158942612547139,1615.393687791574,782188.8459535622,1608.3309873892756,132932.81741726608,0.2399045176508446,0.0324
